"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
10933,12/31/2013 0:00:00,5349,"SERVU",3307,5/16/2011 0:00:00,2299,"National Credit Union Foundation","","Not Collected"
10938,12/31/2013 0:00:00,5352,"HAWAII FIRST",3544,9/24/2013 0:00:00,524000,"Community Development Financial Institutions Fund","","Capital- unrestricted donation to equity"
10938,12/31/2013 0:00:00,5352,"HAWAII FIRST",3545,5/31/2013 0:00:00,33128,"Other","Office of Hawaiian Affairs","Program Grant"
10938,12/31/2013 0:00:00,5352,"HAWAII FIRST",3546,4/30/2013 0:00:00,10000,"Other","Hawaii Island United Way","Program Grant"
10938,12/31/2013 0:00:00,5352,"HAWAII FIRST",3547,2/13/2013 0:00:00,151398,"Other","State of HI NAHASDA","Program Grant"
11030,12/31/2013 0:00:00,5394,"MCCONE COUNTY",3437,8/27/2013 0:00:00,3295,"NCUA Technical Assistance Program","","Program Grant"
11075,12/31/2013 0:00:00,5423,"TOMBSTONE",575,3/11/2010 0:00:00,2500,"NCUA Technical Assistance Program",,"Not Collected"
11075,12/31/2013 0:00:00,5423,"TOMBSTONE",576,6/15/2010 0:00:00,4000,"Other","MOUNTAIN WEST CREDIT UNION ASSOCIATION","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",617,12/2/2009 0:00:00,24148,"Other","NCUF INNOVATION  GRANT","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",618,8/15/2010 0:00:00,590,"NCUA Technical Assistance Program",,"Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",619,4/1/2011 0:00:00,2539,"NCUA Technical Assistance Program",,"Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",620,7/25/2011 0:00:00,5000,"National Federation of Community Development CUs",,"Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",621,8/15/2011 0:00:00,850000,"Other","CDFI Fund","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",1299,5/1/2012 0:00:00,15000,"Other","Innovations to Poverty","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",1300,5/1/2012 0:00:00,167000,"Other","Department of Mines, Minerals and Energy","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",2209,7/3/2012 0:00:00,2460,"Other","OFN Starbucks Initiative","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",2210,6/7/2012 0:00:00,6000,"Other","CDFI Technical Assistance","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",3204,3/18/2013 0:00:00,3225,"Other","OFN","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",3205,1/31/2013 0:00:00,11606,"Other","OFN","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",3273,5/16/2013 0:00:00,5734,"Other","OFN","Not Collected"
11111,12/31/2013 0:00:00,5443,"FREEDOM FIRST",3523,8/6/2013 0:00:00,100000,"Other","OFN","Program Grant"
11231,12/31/2013 0:00:00,5512,"TEXAS FARM BUREAU",135,2/22/2012 0:00:00,1000,"Association of Credit Union Leagues","","Program Grant"
11231,12/31/2013 0:00:00,5512,"TEXAS FARM BUREAU",3181,2/21/2013 0:00:00,1000,"Association of Credit Union Leagues","","Program Grant"
11263,12/31/2013 0:00:00,5530,"SHREVEPORT",136,11/1/2008 0:00:00,100000,"NCUA Technical Assistance Program",,"Not Collected"
11263,12/31/2013 0:00:00,5530,"SHREVEPORT",138,10/6/2011 0:00:00,1200000,"Community Development Financial Institutions Fund",,"Not Collected"
11263,12/31/2013 0:00:00,5530,"SHREVEPORT",3143,10/31/2012 0:00:00,1253806,"Community Development Financial Institutions Fund","","Not Collected"
11300,12/31/2013 0:00:00,5551,"MISSOULA",764,10/19/2011 0:00:00,5000,"NCUA Technical Assistance Program","","Program Grant"
11330,12/31/2013 0:00:00,5572,"KOOTENAI VALLEY",578,7/17/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
11330,12/31/2013 0:00:00,5572,"KOOTENAI VALLEY",2053,8/15/2012 0:00:00,7182,"NCUA Technical Assistance Program","","Not Collected"
11380,12/31/2013 0:00:00,5599,"FIDELIS",3521,5/29/2013 0:00:00,2500,"Other","New York Credit Union Foundation","Program Grant"
11380,12/31/2013 0:00:00,5599,"FIDELIS",3605,12/22/2013 0:00:00,1000,"National Federation of Community Development CUs","","Program Grant"
11445,12/31/2013 0:00:00,5636,"BREWSTER",3353,6/13/2013 0:00:00,1000,"Cuna","","Program Grant"
11445,12/31/2013 0:00:00,5636,"BREWSTER",3354,6/13/2013 0:00:00,1634,"Other","Ohio Credit Union Foundation","Program Grant"
11470,12/31/2013 0:00:00,5659,"SWEET HOME",106,6/24/2009 0:00:00,1796,"New York State Credit Union Foundation",,"Not Collected"
11470,12/31/2013 0:00:00,5659,"SWEET HOME",107,8/11/2009 0:00:00,2500,"New York State Credit Union Foundation",,"Not Collected"
11500,12/31/2013 0:00:00,5676,"ZION",178,1/2/2007 0:00:00,3308,"NCUA Technical Assistance Program",,"Not Collected"
11524,12/31/2013 0:00:00,5688,"IRS BUFFALO",3299,5/21/2013 0:00:00,1452,"New York State Credit Union Foundation","","Not Collected"
11554,12/31/2013 0:00:00,5706,"FAMILY TRUST",3465,7/29/2013 0:00:00,699,"Other","NYIB","Program Grant"
11640,12/31/2013 0:00:00,5748,"BOULEVARD",466,10/25/2010 0:00:00,650,"Cuna",,"Not Collected"
11640,12/31/2013 0:00:00,5748,"BOULEVARD",467,2/25/2011 0:00:00,972,"Other","NY Credit Union Foundation","Not Collected"
11640,12/31/2013 0:00:00,5748,"BOULEVARD",1081,4/25/2012 0:00:00,206,"Other","CUANY","Not Collected"
11640,12/31/2013 0:00:00,5748,"BOULEVARD",3174,12/12/2012 0:00:00,1500,"New York State Credit Union Foundation","","Not Collected"
11702,12/31/2013 0:00:00,5784,"UNION SETTLEMENT",115,8/31/2009 0:00:00,1750,"National Credit Union Foundation","","Capital- unrestricted donation to equity"
11702,12/31/2013 0:00:00,5784,"UNION SETTLEMENT",116,11/30/2009 0:00:00,500000,"Community Development Financial Institutions Fund","","Program Grant"
11702,12/31/2013 0:00:00,5784,"UNION SETTLEMENT",3167,12/31/2012 0:00:00,5000,"Other","BTMU Foundation","Capital- unrestricted donation to equity"
11702,12/31/2013 0:00:00,5784,"UNION SETTLEMENT",3201,7/31/2011 0:00:00,1350,"NCUA Technical Assistance Program","","Program Grant"
11782,12/31/2013 0:00:00,5823,"CARVILLE EMPLOYEES",147,7/17/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
11782,12/31/2013 0:00:00,5823,"CARVILLE EMPLOYEES",148,6/21/2011 0:00:00,795,"NCUA Technical Assistance Program",,"Not Collected"
11782,12/31/2013 0:00:00,5823,"CARVILLE EMPLOYEES",149,6/27/2011 0:00:00,2350,"NCUA Technical Assistance Program",,"Not Collected"
11927,12/31/2013 0:00:00,5915,"COASTAL COMMUNITY",3589,2/5/2013 0:00:00,2000,"Association of Credit Union Leagues","","Program Grant"
11972,12/31/2013 0:00:00,5938,"YOUR CHOICE",3404,4/25/2013 0:00:00,5000,"Association of Credit Union Leagues","","Program Grant"
11979,12/31/2013 0:00:00,5943,"NORTHLAND AREA",3178,8/15/2012 0:00:00,1440,"Other","Lending/Marketing Conference","Not Collected"
11979,12/31/2013 0:00:00,5943,"NORTHLAND AREA",3179,8/15/2012 0:00:00,5000,"Other","Job creation intership","Not Collected"
11979,12/31/2013 0:00:00,5943,"NORTHLAND AREA",3180,8/15/2012 0:00:00,1495,"Cuna","","Not Collected"
11995,12/31/2013 0:00:00,5953,"GREATER CENTRAL TEXAS",3575,10/14/2013 0:00:00,64300,"Other","Cornerstone","Program Grant"
12029,12/31/2013 0:00:00,5974,"UNITED CATHOLICS",2309,9/17/2012 0:00:00,5000,"Other","The Shapiro Group","Not Collected"
12070,12/31/2013 0:00:00,5999,"CHATHAM",1991,8/15/2012 0:00:00,25000,"Other","NCUA Office of Small Credit Union Initiatives","Not Collected"
12111,12/31/2013 0:00:00,6021,"PALM SPRINGS",186,5/16/2013 0:00:00,1500,"Other","California Credit Union League","Program Grant"
12111,12/31/2013 0:00:00,6021,"PALM SPRINGS",3625,10/18/2013 0:00:00,4965,"Other","California Credit Union League","Program Grant"
12170,12/31/2013 0:00:00,6057,"LE ROY",3416,5/29/2013 0:00:00,1500,"National Credit Union Foundation","","Program Grant"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",157,5/24/2007 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",158,5/25/2007 0:00:00,2000,"Other","Texas Credit Union League","Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",159,7/29/2008 0:00:00,250,"Other","Texas Credit Union Foundation","Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",160,9/8/2008 0:00:00,450,"Other","Texas Credit Union Foundation","Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",161,9/30/2008 0:00:00,1000,"Other","Texas Credit Union Foundation","Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",162,5/19/2009 0:00:00,2500,"NCUA Technical Assistance Program",,"Not Collected"
12200,12/31/2013 0:00:00,6072,"SAN ANTONIO WATER SYSTEM",163,7/29/2010 0:00:00,3010,"NCUA Technical Assistance Program",,"Not Collected"
12224,12/31/2013 0:00:00,6085,"CRANE GULF",165,10/11/2004 0:00:00,1425,"Other","Texas Credit Union Foundation - CIF Grant Comm.","Not Collected"
12224,12/31/2013 0:00:00,6085,"CRANE GULF",166,3/17/2005 0:00:00,4805,"Other","Texas Credit Union Foundation - CIF Grant Comm.","Not Collected"
12224,12/31/2013 0:00:00,6085,"CRANE GULF",167,8/21/2008 0:00:00,2520,"Other","Texas Credit Union Foundation - CIF Grants Comm.","Not Collected"
12224,12/31/2013 0:00:00,6085,"CRANE GULF",168,11/25/2008 0:00:00,7000,"NCUA Technical Assistance Program",,"Not Collected"
12238,12/31/2013 0:00:00,6094,"MANATEE COMMUNITY",3430,8/27/2013 0:00:00,21000,"Other","The Office of Small Credit Union Initiatives","Pass Through"
12316,12/31/2013 0:00:00,6146,"MCKENZIE VALLEY",587,5/18/2010 0:00:00,2500,"Other","Credit Union Association of Oregon","Not Collected"
12354,12/31/2013 0:00:00,6168,"WYO CENTRAL",3346,6/17/2013 0:00:00,3760,"Other","Wyoming Workforce Development","Not Collected"
12354,12/31/2013 0:00:00,6168,"WYO CENTRAL",3347,4/26/2013 0:00:00,1334,"Other","Wyoming Workforce Development","Not Collected"
12354,12/31/2013 0:00:00,6168,"WYO CENTRAL",3348,1/22/2013 0:00:00,940,"Other","Wyoming Workforce Development","Not Collected"
12354,12/31/2013 0:00:00,6168,"WYO CENTRAL",3470,9/10/2013 0:00:00,333,"Other","WYOMING WORKFORCE DEVELOPMENT","Program Grant"
12354,12/31/2013 0:00:00,6168,"WYO CENTRAL",3471,7/9/2013 0:00:00,2820,"Other","WYOMING WORKFORCE DEVELOPMENT","Program Grant"
12356,12/31/2013 0:00:00,6169,"IBERVILLE",169,10/28/2011 0:00:00,10000,"NCUA Technical Assistance Program",,"Not Collected"
12356,12/31/2013 0:00:00,6169,"IBERVILLE",170,12/21/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
12365,12/31/2013 0:00:00,6172,"REFUGIO COUNTY",3222,7/27/2012 0:00:00,9525,"NCUA Technical Assistance Program","","Program Grant"
12365,12/31/2013 0:00:00,6172,"REFUGIO COUNTY",3326,6/20/2013 0:00:00,1500,"Association of Credit Union Leagues","","Program Grant"
12442,12/31/2013 0:00:00,6214,"FEDERAL EMPLOYEES WEST",625,8/20/2010 0:00:00,5000,"Other","The Shapiro Group","Not Collected"
12442,12/31/2013 0:00:00,6214,"FEDERAL EMPLOYEES WEST",3111,6/8/2012 0:00:00,5000,"Other","The Shapiro Group","Not Collected"
12505,12/31/2013 0:00:00,6251,"FORT LIGONIER",195,8/18/2009 0:00:00,383,"National Credit Union Foundation",,"Not Collected"
12570,12/31/2013 0:00:00,6281,"UNIVERSITY OF LOUISIANA",3277,5/31/2013 0:00:00,350,"Other","OSCUI Training Grant","Not Collected"
12570,12/31/2013 0:00:00,6281,"UNIVERSITY OF LOUISIANA",3278,5/30/2013 0:00:00,7500,"Other","Office of Small Credit Union Initiatives","Not Collected"
12648,12/31/2013 0:00:00,6333,"BLUEGRASS COMMUNITY",183,10/15/2010 0:00:00,4500,"NCUA Technical Assistance Program",,"Not Collected"
12648,12/31/2013 0:00:00,6333,"BLUEGRASS COMMUNITY",3297,7/1/2013 0:00:00,500,"Association of Credit Union Leagues","","Not Collected"
12673,12/31/2013 0:00:00,6350,"UNITED HOSPITAL CENTER",3202,3/7/2013 0:00:00,3000,"Other","NCUA Urgent Needs Grant","Not Collected"
12673,12/31/2013 0:00:00,6350,"UNITED HOSPITAL CENTER",3403,8/27/2013 0:00:00,5825,"NCUA Technical Assistance Program","","Program Grant"
12676,12/31/2013 0:00:00,6352,"SCHUYLKILL",3187,2/20/2013 0:00:00,2750,"Other","Pennsylvania Credit Union Foundation","Not Collected"
12676,12/31/2013 0:00:00,6352,"SCHUYLKILL",3188,2/6/2013 0:00:00,1000,"Other","Pennsylvania Credit Union Foundation","Not Collected"
12709,12/31/2013 0:00:00,6368,"MONROE EDUCATION EMPLOYEES",3113,4/5/2012 0:00:00,7500,"Other","NCUA Urgent Needs Initiative of the Community Development Revolving Loan Fund","Not Collected"
12709,12/31/2013 0:00:00,6368,"MONROE EDUCATION EMPLOYEES",3114,4/5/2012 0:00:00,3000,"Other","NCUA Staff, Official and Board Member Training Grant Initiative of the Community Development Revolving Loan Fund","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",173,10/2/2009 0:00:00,14520,"NCUA Technical Assistance Program",,"Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",174,6/27/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",175,8/10/2011 0:00:00,2396,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",176,4/12/2012 0:00:00,1625,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",2140,9/27/2012 0:00:00,450,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",2141,9/11/2012 0:00:00,1300,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",3183,3/11/2013 0:00:00,250,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",3184,1/31/2013 0:00:00,950,"Other","LA Small Business Employee Training Program","Not Collected"
12735,12/31/2013 0:00:00,6381,"W B R T",3411,8/7/2013 0:00:00,950,"Other","LA Small Business Employee Training Program","Program Grant"
12735,12/31/2013 0:00:00,6381,"W B R T",3412,4/10/2013 0:00:00,750,"Other","LA Small Business Employee Training Program","Program Grant"
12735,12/31/2013 0:00:00,6381,"W B R T",3577,10/30/2013 0:00:00,499,"Other","LA Small Business Employee Training Program","Program Grant"
12808,12/31/2013 0:00:00,6423,"NORTHEAST ARKANSAS",3283,7/2/2013 0:00:00,7500,"National Credit Union Foundation","","Program Grant"
12833,12/31/2013 0:00:00,6442,"LEXINGTON AVENUE",3581,3/29/2013 0:00:00,30000,"Other","CITY OF ROCHESTER","Program Grant"
12898,12/31/2013 0:00:00,6482,"FONTANA",200,3/6/2009 0:00:00,2411,"Association of Credit Union Leagues",,"Not Collected"
12898,12/31/2013 0:00:00,6482,"FONTANA",201,6/26/2009 0:00:00,1000,"Association of Credit Union Leagues",,"Not Collected"
12898,12/31/2013 0:00:00,6482,"FONTANA",202,6/26/2009 0:00:00,5089,"Association of Credit Union Leagues",,"Not Collected"
12898,12/31/2013 0:00:00,6482,"FONTANA",203,4/11/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
12898,12/31/2013 0:00:00,6482,"FONTANA",204,7/22/2011 0:00:00,4845,"Association of Credit Union Leagues",,"Not Collected"
12983,12/31/2013 0:00:00,6534,"VERMILLION",2125,8/15/2012 0:00:00,4950,"NCUA Technical Assistance Program","","Pass Through"
13001,12/31/2013 0:00:00,6541,"SHERATON HAWAII",765,8/18/2009 0:00:00,1216,"NCUA Technical Assistance Program",,"Not Collected"
13001,12/31/2013 0:00:00,6541,"SHERATON HAWAII",766,2/24/2011 0:00:00,2744,"NCUA Technical Assistance Program",,"Not Collected"
13037,12/31/2013 0:00:00,6566,"CORE",125,8/15/2009 0:00:00,750,"National Credit Union Foundation",,"Not Collected"
13103,12/31/2013 0:00:00,6598,"PALACE CITY",179,7/17/2009 0:00:00,5353,"NCUA Technical Assistance Program",,"Not Collected"
13120,12/31/2013 0:00:00,6613,"PITTSBURG EMPLOYEES",213,12/1/2011 0:00:00,1969,"Cuna",,"Not Collected"
13149,12/31/2013 0:00:00,6634,"GREATER ABYSSINIA",194,8/2/2011 0:00:00,5011,"NCUA Technical Assistance Program",,"Not Collected"
13158,12/31/2013 0:00:00,6639,"HAWAII NATIONAL GUARD",593,7/21/2011 0:00:00,3969,"NCUA Technical Assistance Program",,"Not Collected"
13167,12/31/2013 0:00:00,6645,"FLORENCE",801,7/17/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
13167,12/31/2013 0:00:00,6645,"FLORENCE",802,6/8/2011 0:00:00,2800,"NCUA Technical Assistance Program",,"Not Collected"
13167,12/31/2013 0:00:00,6645,"FLORENCE",803,9/13/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
13167,12/31/2013 0:00:00,6645,"FLORENCE",3468,8/27/2013 0:00:00,13000,"NCUA Technical Assistance Program","","Program Grant"
13234,12/31/2013 0:00:00,6677,"S M",1766,10/30/2011 0:00:00,3800,"NCUA Technical Assistance Program","","Not Collected"
13254,12/31/2013 0:00:00,6688,"CORRECTIONS",3362,6/10/2013 0:00:00,2500,"Association of Credit Union Leagues","","Program Grant"
13526,12/31/2013 0:00:00,6843,"EL CAJON",217,5/18/2011 0:00:00,4550,"Other","The Shapiro Group-a service of the CA CU League","Not Collected"
13531,12/31/2013 0:00:00,6846,"STRUTHERS",205,12/16/2002 0:00:00,995,"NCUA Technical Assistance Program",,"Not Collected"
13531,12/31/2013 0:00:00,6846,"STRUTHERS",206,10/31/2005 0:00:00,4000,"NCUA Technical Assistance Program",,"Not Collected"
13531,12/31/2013 0:00:00,6846,"STRUTHERS",207,7/6/2007 0:00:00,15000,"NCUA Technical Assistance Program",,"Not Collected"
13649,12/31/2013 0:00:00,6927,"PACIFIC NORTHWEST IRONWORKERS",596,6/14/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
13649,12/31/2013 0:00:00,6927,"PACIFIC NORTHWEST IRONWORKERS",597,12/3/2011 0:00:00,2500,"NCUA Technical Assistance Program",,"Not Collected"
13649,12/31/2013 0:00:00,6927,"PACIFIC NORTHWEST IRONWORKERS",3119,12/12/2012 0:00:00,7500,"National Credit Union Foundation","","Not Collected"
13649,12/31/2013 0:00:00,6927,"PACIFIC NORTHWEST IRONWORKERS",3472,9/1/2013 0:00:00,3000,"National Credit Union Foundation","","Program Grant"
13672,12/31/2013 0:00:00,6943,"VICTORIA CITY-COUNTY EMPLOYEES",3196,10/4/2012 0:00:00,1750,"Association of Credit Union Leagues","","Not Collected"
13673,12/31/2013 0:00:00,6944,"SOUTH JENNINGS CATHOLIC",184,7/30/2010 0:00:00,1426,"National Credit Union Foundation",,"Not Collected"
13765,12/31/2013 0:00:00,7006,"QUEMADO",185,11/19/2010 0:00:00,3000,"NCUA Technical Assistance Program",,"Not Collected"
13765,12/31/2013 0:00:00,7006,"QUEMADO",1609,4/30/2012 0:00:00,10000,"NCUA Technical Assistance Program","","Not Collected"
13765,12/31/2013 0:00:00,7006,"QUEMADO",3123,11/12/2012 0:00:00,1500,"NCUA Technical Assistance Program","","Not Collected"
13823,12/31/2013 0:00:00,7047,"BRADFORD AREA",224,4/14/2011 0:00:00,3000,"Association of Credit Union Leagues",,"Not Collected"
13833,12/31/2013 0:00:00,7053,"C U P",3574,11/30/2013 0:00:00,1500,"Other","Mountain America Credit Credit Union","Program Grant"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",599,12/13/2010 0:00:00,5000,"Other","Washington Credit Union Foundation","Not Collected"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",600,6/29/2011 0:00:00,7500,"NCUA Technical Assistance Program",,"Not Collected"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",2028,3/30/2012 0:00:00,200,"Other","NWCU Foundation","Not Collected"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",3251,4/15/2013 0:00:00,300,"Other","GH Chapter of Credit Unions","Not Collected"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",3252,4/12/2013 0:00:00,850,"Association of Credit Union Leagues","","Not Collected"
13857,12/31/2013 0:00:00,7068,"LONGSHORE",3421,8/27/2013 0:00:00,1164,"Other","NCUA OSCUI","Program Grant"
14016,12/31/2013 0:00:00,7165,"INLAND",226,3/31/2011 0:00:00,2000,"Other","California Credit Union League","Not Collected"
14016,12/31/2013 0:00:00,7165,"INLAND",3198,11/29/2012 0:00:00,5000,"Other","California/Nevada Credit Union League","Not Collected"
14052,12/31/2013 0:00:00,7191,"LIBERTY COUNTY TEACHERS",190,7/1/2009 0:00:00,1235,"Other","Texas Credit Union Foundation","Not Collected"
14052,12/31/2013 0:00:00,7191,"LIBERTY COUNTY TEACHERS",191,3/10/2010 0:00:00,2500,"NCUA Technical Assistance Program",,"Not Collected"
14052,12/31/2013 0:00:00,7191,"LIBERTY COUNTY TEACHERS",192,3/1/2011 0:00:00,750,"Other","Texas Credit Union Foundation","Not Collected"
14052,12/31/2013 0:00:00,7191,"LIBERTY COUNTY TEACHERS",193,8/1/2011 0:00:00,1318,"NCUA Technical Assistance Program",,"Not Collected"
14052,12/31/2013 0:00:00,7191,"LIBERTY COUNTY TEACHERS",895,5/1/2012 0:00:00,1300,"Cuna","","Not Collected"
14169,12/31/2013 0:00:00,7256,"PICKENS",3431,8/27/2013 0:00:00,8650,"Other","OSCUI","Program Grant"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",129,8/12/2005 0:00:00,2000,"NCUA Technical Assistance Program",,"Not Collected"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",130,10/31/2005 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",131,12/8/2006 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",132,8/6/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",133,8/31/2010 0:00:00,3900,"NCUA Technical Assistance Program",,"Not Collected"
14211,12/31/2013 0:00:00,7279,"HOWLAND - ENFIELD",134,12/1/2010 0:00:00,15000,"NCUA Technical Assistance Program",,"Not Collected"
14247,12/31/2013 0:00:00,7304,"I B E W LOCAL 56",228,1/4/2009 0:00:00,3000,"Other","PA Credit Union Foundation","Not Collected"
14247,12/31/2013 0:00:00,7304,"I B E W LOCAL 56",229,3/31/2011 0:00:00,1000,"Other","PA CREDIT UNION FOUNDATION","Not Collected"
14260,12/31/2013 0:00:00,7316,"MINUTEMAN COMMUNITY",3503,8/27/2013 0:00:00,1494,"Other","OSCUI","Program Grant"
14314,12/31/2013 0:00:00,7345,"TRI-RIVERS",3325,8/15/2012 0:00:00,5000,"Other","Office of Small Credit Union  Initiatives Grant Program - CUNA","Not Collected"
14346,12/31/2013 0:00:00,7367,"FIRST AREA",230,7/17/2009 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
14505,12/31/2013 0:00:00,7462,"GRIFFITH INSTITUTE EMPLOYEES",139,8/16/2009 0:00:00,1250,"New York State Credit Union Foundation",,"Not Collected"
14522,12/31/2013 0:00:00,7474,"SPECIAL METALS",945,6/21/2012 0:00:00,1000,"New York State Credit Union Foundation","","Not Collected"
14610,12/31/2013 0:00:00,7526,"MORNING STAR",2801,9/19/2012 0:00:00,5400,"Other","NCUA","Not Collected"
14611,12/31/2013 0:00:00,7527,"WVU EMPLOYEES",3386,8/27/2013 0:00:00,8995,"Other","The Office of Small Credit Union Initiatives","Program Grant"
14692,12/31/2013 0:00:00,7576,"ASI",208,3/26/2009 0:00:00,998685,"Community Development Financial Institutions Fund","","Program Grant"
14692,12/31/2013 0:00:00,7576,"ASI",209,8/13/2009 0:00:00,2000000,"Community Development Financial Institutions Fund","","Subsidy for Risk or ALL"
14692,12/31/2013 0:00:00,7576,"ASI",210,11/21/2011 0:00:00,1500000,"Community Development Financial Institutions Fund","","Subsidy for Risk or ALL"
14692,12/31/2013 0:00:00,7576,"ASI",211,11/21/2011 0:00:00,3000000,"Community Development Financial Institutions Fund","","Program Grant"
14692,12/31/2013 0:00:00,7576,"ASI",3162,10/31/2012 0:00:00,2000000,"Community Development Financial Institutions Fund","","Program Grant"
14692,12/31/2013 0:00:00,7576,"ASI",3163,10/31/2012 0:00:00,1453806,"Community Development Financial Institutions Fund","","Subsidy for Risk or ALL"
14758,12/31/2013 0:00:00,7619,"QUAY SCHOOLS",601,1/13/2011 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
14836,12/31/2013 0:00:00,7665,"WIT",141,10/1/2009 0:00:00,648,"New York State Credit Union Foundation",,"Not Collected"
14836,12/31/2013 0:00:00,7665,"WIT",3156,1/14/2013 0:00:00,938,"New York State Credit Union Foundation","","Program Grant"
14879,12/31/2013 0:00:00,7689,"A.B.",241,10/15/2010 0:00:00,7500,"National Credit Union Foundation",,"Not Collected"
14879,12/31/2013 0:00:00,7689,"A.B.",2800,6/25/2012 0:00:00,4289,"National Credit Union Foundation","","Not Collected"
14879,12/31/2013 0:00:00,7689,"A.B.",3291,1/31/2013 0:00:00,3100,"National Credit Union Foundation","","Not Collected"
14884,12/31/2013 0:00:00,7692,"SPENCERPORT",144,8/1/2009 0:00:00,1000,"New York State Credit Union Foundation",,"Not Collected"
14884,12/31/2013 0:00:00,7692,"SPENCERPORT",3182,2/14/2013 0:00:00,687,"New York State Credit Union Foundation","","Program Grant"
14884,12/31/2013 0:00:00,7692,"SPENCERPORT",3275,6/1/2013 0:00:00,1941,"New York State Credit Union Foundation","","Program Grant"
14917,12/31/2013 0:00:00,7708,"GIBBONS AND REED EMPLOYEES",603,4/15/2009 0:00:00,7500,"Association of Credit Union Leagues",,"Not Collected"
15009,12/31/2013 0:00:00,7754,"MORGAN CITY",214,5/15/2009 0:00:00,2980,"Other","NCUA OFFICE OF SMALL CREDIT UNION INITIATIVES-STAFF, OFFICIAL AND BOARD MEMBER TRAINING INITIATIVE","Not Collected"
15009,12/31/2013 0:00:00,7754,"MORGAN CITY",215,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program",,"Not Collected"
15009,12/31/2013 0:00:00,7754,"MORGAN CITY",3090,12/17/2012 0:00:00,6474,"Other","OSCUI URGENT NEEDS GRANT","Not Collected"
